Assembly_ID,Sub_parts,Edge_Index
Bearing_2_5,"Bearing_2_Ball__5.binvox, Bearing_2_InnerRing__5.binvox, Bearing_2_OuterRing__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_2_7,"Bearing_2_Ball__7.binvox, Bearing_2_InnerRing__7.binvox, Bearing_2_OuterRing__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_2_8,"Bearing_2_Ball__8.binvox, Bearing_2_InnerRing__8.binvox, Bearing_2_OuterRing__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_3_1,"Bearing_3_Ball__1.binvox, Bearing_3_InnerRing__1.binvox, Bearing_3_OuterRing__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_3_10,"Bearing_3_Ball__10.binvox, Bearing_3_InnerRing__10.binvox, Bearing_3_OuterRing__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_3_3,"Bearing_3_Ball__3.binvox, Bearing_3_InnerRing__3.binvox, Bearing_3_OuterRing__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_3_4,"Bearing_3_Ball__4.binvox, Bearing_3_InnerRing__4.binvox, Bearing_3_OuterRing__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_3_5,"Bearing_3_Ball__5.binvox, Bearing_3_InnerRing__5.binvox, Bearing_3_OuterRing__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_3_7,"Bearing_3_Ball__7.binvox, Bearing_3_InnerRing__7.binvox, Bearing_3_OuterRing__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_3_8,"Bearing_3_Ball__8.binvox, Bearing_3_InnerRing__8.binvox, Bearing_3_OuterRing__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_4_1,"Bearing_4_Ball__1.binvox, Bearing_4_InnerRing__1.binvox, Bearing_4_OuterRing__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_4_10,"Bearing_4_Ball__10.binvox, Bearing_4_InnerRing__10.binvox, Bearing_4_OuterRing__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_4_3,"Bearing_4_Ball__3.binvox, Bearing_4_InnerRing__3.binvox, Bearing_4_OuterRing__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_4_4,"Bearing_4_Ball__4.binvox, Bearing_4_InnerRing__4.binvox, Bearing_4_OuterRing__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_4_5,"Bearing_4_Ball__5.binvox, Bearing_4_InnerRing__5.binvox, Bearing_4_OuterRing__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_4_7,"Bearing_4_Ball__7.binvox, Bearing_4_InnerRing__7.binvox, Bearing_4_OuterRing__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_4_8,"Bearing_4_Ball__8.binvox, Bearing_4_InnerRing__8.binvox, Bearing_4_OuterRing__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_5_1,"Bearing_5_Ball__1.binvox, Bearing_5_Cage__1.binvox, Bearing_5_InnerRing__1.binvox, Bearing_5_OuterRing__1.binvox, Bearing_5_Seal__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox","[(0, 1), (2, 4), (3, 4), (4, 3), (0, 3), (2, 0), (4, 2), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_5_10,"Bearing_5_Ball__10.binvox, Bearing_5_Cage__10.binvox, Bearing_5_InnerRing__10.binvox, Bearing_5_OuterRing__10.binvox, Bearing_5_Seal__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox","[(0, 1), (2, 4), (3, 4), (4, 3), (0, 3), (2, 0), (4, 2), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_5_3,"Bearing_5_Ball__3.binvox, Bearing_5_Cage__3.binvox, Bearing_5_InnerRing__3.binvox, Bearing_5_OuterRing__3.binvox, Bearing_5_Seal__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox","[(0, 1), (2, 4), (3, 4), (4, 3), (0, 3), (2, 0), (4, 2), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_5_4,"Bearing_5_Ball__4.binvox, Bearing_5_Cage__4.binvox, Bearing_5_InnerRing__4.binvox, Bearing_5_OuterRing__4.binvox, Bearing_5_Seal__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox","[(0, 1), (2, 4), (3, 4), (4, 3), (0, 3), (2, 0), (4, 2), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_5_5,"Bearing_5_Ball__5.binvox, Bearing_5_Cage__5.binvox, Bearing_5_InnerRing__5.binvox, Bearing_5_OuterRing__5.binvox, Bearing_5_Seal__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox","[(0, 1), (2, 4), (3, 4), (4, 3), (0, 3), (2, 0), (4, 2), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_5_7,"Bearing_5_Ball__7.binvox, Bearing_5_Cage__7.binvox, Bearing_5_InnerRing__7.binvox, Bearing_5_OuterRing__7.binvox, Bearing_5_Seal__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox","[(0, 1), (2, 4), (3, 4), (4, 3), (0, 3), (2, 0), (4, 2), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_5_8,"Bearing_5_Ball__8.binvox, Bearing_5_Cage__8.binvox, Bearing_5_InnerRing__8.binvox, Bearing_5_OuterRing__8.binvox, Bearing_5_Seal__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox","[(0, 1), (2, 4), (3, 4), (4, 3), (0, 3), (2, 0), (4, 2), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_6_1,"Bearing_6_Ball__1.binvox, Bearing_6_InnerRing__1.binvox, Bearing_6_OuterRing__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_6_10,"Bearing_6_Ball__10.binvox, Bearing_6_InnerRing__10.binvox, Bearing_6_OuterRing__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_6_3,"Bearing_6_Ball__3.binvox, Bearing_6_InnerRing__3.binvox, Bearing_6_OuterRing__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_6_4,"Bearing_6_Ball__4.binvox, Bearing_6_InnerRing__4.binvox, Bearing_6_OuterRing__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_6_5,"Bearing_6_Ball__5.binvox, Bearing_6_InnerRing__5.binvox, Bearing_6_OuterRing__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_6_7,"Bearing_6_Ball__7.binvox, Bearing_6_InnerRing__7.binvox, Bearing_6_OuterRing__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_6_8,"Bearing_6_Ball__8.binvox, Bearing_6_InnerRing__8.binvox, Bearing_6_OuterRing__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_7_1,"Bearing_7_Ball__1.binvox, Bearing_7_InnerRing__1.binvox, Bearing_7_OuterRing__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_7_10,"Bearing_7_Ball__10.binvox, Bearing_7_InnerRing__10.binvox, Bearing_7_OuterRing__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_7_3,"Bearing_7_Ball__3.binvox, Bearing_7_InnerRing__3.binvox, Bearing_7_OuterRing__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_7_4,"Bearing_7_Ball__4.binvox, Bearing_7_InnerRing__4.binvox, Bearing_7_OuterRing__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_7_5,"Bearing_7_Ball__5.binvox, Bearing_7_InnerRing__5.binvox, Bearing_7_OuterRing__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_7_7,"Bearing_7_Ball__7.binvox, Bearing_7_InnerRing__7.binvox, Bearing_7_OuterRing__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_7_8,"Bearing_7_Ball__8.binvox, Bearing_7_InnerRing__8.binvox, Bearing_7_OuterRing__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_8_1,"Bearing_8_Ball__1.binvox, Bearing_8_InnerRing__1.binvox, Bearing_8_OuterRing__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
