Assembly_ID,Sub_parts,Restrictive_Tolerance,Assembly_Time,Assembly_Cost,Quantity,Supplier
Caster_7_10,"Caster_7_Bolt__10.binvox, Caster_7_Fork__10.binvox, Caster_7_Nut__10.binvox, Caster_7_TopPlate__10.binvox, Caster_7_Wheel__10.binvox",25.37,32.54,16.62,510,1
Caster_7_3,"Caster_7_Bolt__3.binvox, Caster_7_Fork__3.binvox, Caster_7_Nut__3.binvox, Caster_7_TopPlate__3.binvox, Caster_7_Wheel__3.binvox",25.02,31.85,14.93,552,1
Caster_7_4,"Caster_7_Bolt__4.binvox, Caster_7_Fork__4.binvox, Caster_7_Nut__4.binvox, Caster_7_TopPlate__4.binvox, Caster_7_Wheel__4.binvox",24.9,32.11,15.93,469,1
Caster_7_5,"Caster_7_Bolt__5.binvox, Caster_7_Fork__5.binvox, Caster_7_Nut__5.binvox, Caster_7_TopPlate__5.binvox, Caster_7_Wheel__5.binvox",24.81,31.29,14.6,517,1
Caster_7_7,"Caster_7_Bolt__7.binvox, Caster_7_Fork__7.binvox, Caster_7_Nut__7.binvox, Caster_7_TopPlate__7.binvox, Caster_7_Wheel__7.binvox",25,34.26,18.47,529,1
Caster_7_8,"Caster_7_Bolt__8.binvox, Caster_7_Fork__8.binvox, Caster_7_Nut__8.binvox, Caster_7_TopPlate__8.binvox, Caster_7_Wheel__8.binvox",24.9,36.31,19.58,467,1
Caster_8_1,"Caster_8_Bolt__1.binvox, Caster_8_Fork__1.binvox, Caster_8_Nut__1.binvox, Caster_8_TopPlate__1.binvox, Caster_8_Wheel__1.binvox",24.19,37.64,18.37,471,1
Caster_8_10,"Caster_8_Bolt__10.binvox, Caster_8_Fork__10.binvox, Caster_8_Nut__10.binvox, Caster_8_TopPlate__10.binvox, Caster_8_Wheel__10.binvox",25.49,39.58,21.1,503,1
Caster_8_3,"Caster_8_Bolt__3.binvox, Caster_8_Fork__3.binvox, Caster_8_Nut__3.binvox, Caster_8_TopPlate__3.binvox, Caster_8_Wheel__3.binvox",23.51,36.63,18.94,577,1
Caster_8_4,"Caster_8_Bolt__4.binvox, Caster_8_Fork__4.binvox, Caster_8_Nut__4.binvox, Caster_8_TopPlate__4.binvox, Caster_8_Wheel__4.binvox",24.98,35,17.67,500,1
Caster_8_5,"Caster_8_Bolt__5.binvox, Caster_8_Fork__5.binvox, Caster_8_Nut__5.binvox, Caster_8_TopPlate__5.binvox, Caster_8_Wheel__5.binvox",24.39,36.06,19.28,538,1
Caster_8_7,"Caster_8_Bolt__7.binvox, Caster_8_Fork__7.binvox, Caster_8_Nut__7.binvox, Caster_8_TopPlate__7.binvox, Caster_8_Wheel__7.binvox",25.29,34.8,18.1,537,1
Caster_8_8,"Caster_8_Bolt__8.binvox, Caster_8_Fork__8.binvox, Caster_8_Nut__8.binvox, Caster_8_TopPlate__8.binvox, Caster_8_Wheel__8.binvox",23.76,42.61,23.26,450,1
Caster_9_1,"Caster_9_Bolt__1.binvox, Caster_9_Fork__1.binvox, Caster_9_Nut__1.binvox, Caster_9_TopPlate__1.binvox, Caster_9_Wheel__1.binvox",25.19,41.04,18.49,528,1
Caster_9_10,"Caster_9_Bolt__10.binvox, Caster_9_Fork__10.binvox, Caster_9_Nut__10.binvox, Caster_9_TopPlate__10.binvox, Caster_9_Wheel__10.binvox",23.85,34.3,18.83,509,1
Caster_9_3,"Caster_9_Bolt__3.binvox, Caster_9_Fork__3.binvox, Caster_9_Nut__3.binvox, Caster_9_TopPlate__3.binvox, Caster_9_Wheel__3.binvox",23.67,38.75,21.12,543,1
Caster_9_4,"Caster_9_Bolt__4.binvox, Caster_9_Fork__4.binvox, Caster_9_Nut__4.binvox, Caster_9_TopPlate__4.binvox, Caster_9_Wheel__4.binvox",23.56,34.75,16.81,474,1
Caster_9_5,"Caster_9_Bolt__5.binvox, Caster_9_Fork__5.binvox, Caster_9_Nut__5.binvox, Caster_9_TopPlate__5.binvox, Caster_9_Wheel__5.binvox",25.39,31.74,16.36,508,1
Caster_9_7,"Caster_9_Bolt__7.binvox, Caster_9_Fork__7.binvox, Caster_9_Nut__7.binvox, Caster_9_TopPlate__7.binvox, Caster_9_Wheel__7.binvox",23.82,39.77,20.09,486,1
Caster_9_8,"Caster_9_Bolt__8.binvox, Caster_9_Fork__8.binvox, Caster_9_Nut__8.binvox, Caster_9_TopPlate__8.binvox, Caster_9_Wheel__8.binvox",23.79,39.24,18.39,512,1
Clamp_10_1,"Clamp_10_Frame__1.binvox, Clamp_10_Pad__1.binvox, Clamp_10_PinScrew__1.binvox",24.4,25.27,22.09,483,1
Clamp_11_1,"Clamp_11_Frame__1.binvox, Clamp_11_Handle__1.binvox, Clamp_11_Pad__1.binvox, Clamp_11_PinScrew__1.binvox",25.18,25.14,33.58,523,1
Clamp_12_1,"Clamp_12_Frame__1.binvox, Clamp_12_Handle__1.binvox, Clamp_12_Pad__1.binvox, Clamp_12_PinScrew__1.binvox",24.6,28.36,28.24,537,1
Clamp_13_1,"Clamp_13_Frame__1.binvox, Clamp_13_Handle__1.binvox, Clamp_13_Pad__1.binvox, Clamp_13_PinScrew__1.binvox",24.17,29.23,33.22,482,1
Clamp_15_1,"Clamp_15_Frame__1.binvox, Clamp_15_Handle__1.binvox, Clamp_15_Pad__1.binvox, Clamp_15_PinScrew__1.binvox",24.71,29.21,28.62,500,1
Clamp_16_1,"Clamp_16_Frame__1.binvox, Clamp_16_Handle__1.binvox, Clamp_16_Pad__1.binvox, Clamp_16_PinScrew__1.binvox",31.24,25.55,34.13,481,1
Clamp_17_1,"Clamp_17_Frame__1.binvox, Clamp_17_Handle__1.binvox, Clamp_17_Pad__1.binvox, Clamp_17_PinScrew__1.binvox",30.96,27.12,31.96,523,1
Clamp_18_1,"Clamp_18_Frame__1.binvox, Clamp_18_Handle__1.binvox, Clamp_18_Pad__1.binvox, Clamp_18_PinScrew__1.binvox",30.2,25.76,27.24,513,1
Clamp_1_2,"Clamp_1_Frame__2.binvox, Clamp_1_Handle__2.binvox, Clamp_1_Pad__2.binvox, Clamp_1_PinScrew__2.binvox",24.84,29.15,29.81,492,1
Clamp_1_3,"Clamp_1_Frame__3.binvox, Clamp_1_Handle__3.binvox, Clamp_1_Pad__3.binvox, Clamp_1_PinScrew__3.binvox",25.37,25.62,29.46,459,1
Clamp_1_4,"Clamp_1_Frame__4.binvox, Clamp_1_Handle__4.binvox, Clamp_1_Pad__4.binvox, Clamp_1_PinScrew__4.binvox",20.53,29.47,34.6,475,1
Clamp_1_5,"Clamp_1_Frame__5.binvox, Clamp_1_Handle__5.binvox, Clamp_1_Pad__5.binvox, Clamp_1_PinScrew__5.binvox",20.96,27.05,29.84,577,1
Clamp_1_7,"Clamp_1_Frame__7.binvox, Clamp_1_Handle__7.binvox, Clamp_1_Pad__7.binvox, Clamp_1_PinScrew__7.binvox",20.3,26.71,29.76,479,1
Clamp_1_9,"Clamp_1_Frame__9.binvox, Clamp_1_Handle__9.binvox, Clamp_1_Pad__9.binvox, Clamp_1_PinScrew__9.binvox",19.42,29.83,32.48,497,1
Clamp_20_1,"Clamp_20_Frame__1.binvox, Clamp_20_Handle__1.binvox, Clamp_20_Pad__1.binvox, Clamp_20_PinScrew__1.binvox",31.54,28.24,32.44,500,1
Clamp_2_2,"Clamp_2_Frame__2.binvox, Clamp_2_Handle__2.binvox, Clamp_2_Pad__2.binvox, Clamp_2_PinScrew__2.binvox",31.13,29.65,25.98,501,1
Clamp_2_3,"Clamp_2_Frame__3.binvox, Clamp_2_Handle__3.binvox, Clamp_2_Pad__3.binvox, Clamp_2_PinScrew__3.binvox",30.84,28.66,26.17,436,1
Clamp_2_4,"Clamp_2_Frame__4.binvox, Clamp_2_Handle__4.binvox, Clamp_2_Pad__4.binvox, Clamp_2_PinScrew__4.binvox",25.29,25.76,33.66,457,1
Clamp_2_5,"Clamp_2_Frame__5.binvox, Clamp_2_Handle__5.binvox, Clamp_2_Pad__5.binvox, Clamp_2_PinScrew__5.binvox",25.17,25.61,29.53,535,1
Clamp_2_7,"Clamp_2_Frame__7.binvox, Clamp_2_Handle__7.binvox, Clamp_2_Pad__7.binvox, Clamp_2_PinScrew__7.binvox",31.62,25.74,33.25,539,1
Clamp_2_9,"Clamp_2_Frame__9.binvox, Clamp_2_Handle__9.binvox, Clamp_2_Pad__9.binvox, Clamp_2_PinScrew__9.binvox",31.83,25.36,26.37,555,1
Clamp_3_2,"Clamp_3_Frame__2.binvox, Clamp_3_Handle__2.binvox, Clamp_3_Pad__2.binvox, Clamp_3_PinScrew__2.binvox",25.4,26.71,34.62,485,1
Clamp_3_3,"Clamp_3_Frame__3.binvox, Clamp_3_Handle__3.binvox, Clamp_3_Pad__3.binvox, Clamp_3_PinScrew__3.binvox",23.71,26.69,32.6,497,1
Clamp_3_4,"Clamp_3_Frame__4.binvox, Clamp_3_Handle__4.binvox, Clamp_3_Pad__4.binvox, Clamp_3_PinScrew__4.binvox",23.74,26.49,32.87,505,1
Clamp_3_5,"Clamp_3_Frame__5.binvox, Clamp_3_Handle__5.binvox, Clamp_3_Pad__5.binvox, Clamp_3_PinScrew__5.binvox",24.92,25.7,33.63,525,1
Clamp_3_7,"Clamp_3_Frame__7.binvox, Clamp_3_Handle__7.binvox, Clamp_3_Pad__7.binvox, Clamp_3_PinScrew__7.binvox",24.42,30.18,26.65,472,1
Clamp_3_9,"Clamp_3_Frame__9.binvox, Clamp_3_Handle__9.binvox, Clamp_3_Pad__9.binvox, Clamp_3_PinScrew__9.binvox",25.41,27.19,29.97,529,1
Clamp_4_2,"Clamp_4_Frame__2.binvox, Clamp_4_PinScrew__2.binvox",24.34,14.38,13.87,545,1
Clamp_4_3,"Clamp_4_Frame__3.binvox, Clamp_4_PinScrew__3.binvox",25,13.92,13.25,437,1
Clamp_4_4,"Clamp_4_Frame__4.binvox, Clamp_4_PinScrew__4.binvox",24.86,12.45,15.42,482,1
Clamp_4_5,"Clamp_4_Frame__5.binvox, Clamp_4_PinScrew__5.binvox",25,13.39,14.43,534,1
Clamp_4_7,"Clamp_4_Frame__7.binvox, Clamp_4_PinScrew__7.binvox",24.01,12.84,14.28,509,1
Clamp_4_9,"Clamp_4_Frame__9.binvox, Clamp_4_PinScrew__9.binvox",24.36,14.97,14.88,514,1
Clamp_5_2,"Clamp_5_Frame__2.binvox, Clamp_5_Handle__2.binvox, Clamp_5_Pad__2.binvox, Clamp_5_PinScrew__2.binvox",30.34,28.09,34.11,542,1
Clamp_5_3,"Clamp_5_Frame__3.binvox, Clamp_5_Handle__3.binvox, Clamp_5_Pad__3.binvox, Clamp_5_PinScrew__3.binvox",31.19,28.66,32.33,502,1
Clamp_5_4,"Clamp_5_Frame__4.binvox, Clamp_5_Handle__4.binvox, Clamp_5_Pad__4.binvox, Clamp_5_PinScrew__4.binvox",25.2,28.58,32.07,488,1
Clamp_5_5,"Clamp_5_Frame__5.binvox, Clamp_5_Handle__5.binvox, Clamp_5_Pad__5.binvox, Clamp_5_PinScrew__5.binvox",24.07,26.73,35.1,465,1
Clamp_5_7,"Clamp_5_Frame__7.binvox, Clamp_5_Handle__7.binvox, Clamp_5_Pad__7.binvox, Clamp_5_PinScrew__7.binvox",25.02,30.6,27.08,512,1
Clamp_5_9,"Clamp_5_Frame__9.binvox, Clamp_5_Handle__9.binvox, Clamp_5_Pad__9.binvox, Clamp_5_PinScrew__9.binvox",24.09,29.64,28.27,521,1
Clamp_6_1,"Clamp_6_Frame__1.binvox, Clamp_6_Pad__1.binvox, Clamp_6_PinScrew__1.binvox",19.3,24.28,25.69,502,1
Clamp_7_1,"Clamp_7_Frame__1.binvox, Clamp_7_PinScrew__1.binvox",20.56,14.98,16.28,527,1
Clamp_8_1,"Clamp_8_Frame__1.binvox, Clamp_8_Handle__1.binvox, Clamp_8_Pad__1.binvox, Clamp_8_PinScrew__1.binvox",24.28,25.76,31.66,535,1
Latch_10_1,"Latch_10_BottomPlate__1.binvox, Latch_10_BuckledRing__1.binvox, Latch_10_ControlPanel__1.binvox, Latch_10_Rivet__1.binvox, Latch_10_StrikePlate__1.binvox",16.79,19.37,21.69,491,2
Latch_10_10,"Latch_10_BottomPlate__10.binvox, Latch_10_BuckledRing__10.binvox, Latch_10_ControlPanel__10.binvox, Latch_10_Rivet__10.binvox, Latch_10_StrikePlate__10.binvox",16.57,20.24,22.67,511,2
Latch_10_3,"Latch_10_BottomPlate__3.binvox, Latch_10_BuckledRing__3.binvox, Latch_10_ControlPanel__3.binvox, Latch_10_Rivet__3.binvox, Latch_10_StrikePlate__3.binvox",17.12,20.76,23.25,491,2
Latch_10_4,"Latch_10_BottomPlate__4.binvox, Latch_10_BuckledRing__4.binvox, Latch_10_ControlPanel__4.binvox, Latch_10_Rivet__4.binvox, Latch_10_StrikePlate__4.binvox",17.15,21.78,24.39,507,2
Latch_10_5,"Latch_10_BottomPlate__5.binvox, Latch_10_BuckledRing__5.binvox, Latch_10_ControlPanel__5.binvox, Latch_10_Rivet__5.binvox, Latch_10_StrikePlate__5.binvox",16.85,21.41,23.98,492,2
Latch_10_7,"Latch_10_BottomPlate__7.binvox, Latch_10_BuckledRing__7.binvox, Latch_10_ControlPanel__7.binvox, Latch_10_Rivet__7.binvox, Latch_10_StrikePlate__7.binvox",16.66,22.11,24.76,483,2
Latch_10_8,"Latch_10_BottomPlate__8.binvox, Latch_10_BuckledRing__8.binvox, Latch_10_ControlPanel__8.binvox, Latch_10_Rivet__8.binvox, Latch_10_StrikePlate__8.binvox",17.99,18.77,21.02,526,2
Latch_1_1,"Latch_1_BottomPlate__1.binvox, Latch_1_BuckledRing__1.binvox, Latch_1_ControlPanel__1.binvox, Latch_1_Rivet__1.binvox, Latch_1_StrikePlate__1.binvox",11.66,19.62,21.97,557,2
Latch_1_10,"Latch_1_BottomPlate__10.binvox, Latch_1_BuckledRing__10.binvox, Latch_1_ControlPanel__10.binvox, Latch_1_Rivet__10.binvox, Latch_1_StrikePlate__10.binvox",11.57,18.49,20.71,513,2
Latch_1_3,"Latch_1_BottomPlate__3.binvox, Latch_1_BuckledRing__3.binvox, Latch_1_ControlPanel__3.binvox, Latch_1_Rivet__3.binvox, Latch_1_StrikePlate__3.binvox",12.25,19.77,22.14,514,2
Latch_1_4,"Latch_1_BottomPlate__4.binvox, Latch_1_BuckledRing__4.binvox, Latch_1_ControlPanel__4.binvox, Latch_1_Rivet__4.binvox, Latch_1_StrikePlate__4.binvox",17.01,20.82,23.32,520,2
Latch_1_5,"Latch_1_BottomPlate__5.binvox, Latch_1_BuckledRing__5.binvox, Latch_1_ControlPanel__5.binvox, Latch_1_Rivet__5.binvox, Latch_1_StrikePlate__5.binvox",17.37,20.92,23.43,465,2
Latch_1_7,"Latch_1_BottomPlate__7.binvox, Latch_1_BuckledRing__7.binvox, Latch_1_ControlPanel__7.binvox, Latch_1_Rivet__7.binvox, Latch_1_StrikePlate__7.binvox",11.88,21.46,24.04,452,2
Latch_1_8,"Latch_1_BottomPlate__8.binvox, Latch_1_BuckledRing__8.binvox, Latch_1_ControlPanel__8.binvox, Latch_1_Rivet__8.binvox, Latch_1_StrikePlate__8.binvox",11.72,21.4,23.97,534,2
Latch_2_1,"Latch_2_BottomPlate__1.binvox, Latch_2_BuckledRing__1.binvox, Latch_2_ControlPanel__1.binvox, Latch_2_Rivet__1.binvox, Latch_2_StrikePlate__1.binvox",16.43,19.62,21.97,544,2
Latch_2_10,"Latch_2_BottomPlate__10.binvox, Latch_2_BuckledRing__10.binvox, Latch_2_ControlPanel__10.binvox, Latch_2_Rivet__10.binvox, Latch_2_StrikePlate__10.binvox",17.52,19.18,21.48,506,2
Latch_2_3,"Latch_2_BottomPlate__3.binvox, Latch_2_BuckledRing__3.binvox, Latch_2_ControlPanel__3.binvox, Latch_2_Rivet__3.binvox, Latch_2_StrikePlate__3.binvox",16.87,18.91,21.18,555,2
Latch_2_4,"Latch_2_BottomPlate__4.binvox, Latch_2_BuckledRing__4.binvox, Latch_2_ControlPanel__4.binvox, Latch_2_Rivet__4.binvox, Latch_2_StrikePlate__4.binvox",16.46,21.93,24.56,568,2
Latch_2_5,"Latch_2_BottomPlate__5.binvox, Latch_2_BuckledRing__5.binvox, Latch_2_ControlPanel__5.binvox, Latch_2_Rivet__5.binvox, Latch_2_StrikePlate__5.binvox",17.32,20.34,22.78,452,2
Latch_2_7,"Latch_2_BottomPlate__7.binvox, Latch_2_BuckledRing__7.binvox, Latch_2_ControlPanel__7.binvox, Latch_2_Rivet__7.binvox, Latch_2_StrikePlate__7.binvox",16.58,18.68,20.92,513,2
Latch_2_8,"Latch_2_BottomPlate__8.binvox, Latch_2_BuckledRing__8.binvox, Latch_2_ControlPanel__8.binvox, Latch_2_Rivet__8.binvox, Latch_2_StrikePlate__8.binvox",16.65,22.18,24.84,506,2
Latch_3_1,"Latch_3_BottomPlate__1.binvox, Latch_3_BuckledRing__1.binvox, Latch_3_ControlPanel__1.binvox, Latch_3_Rivet__1.binvox, Latch_3_StrikePlate__1.binvox",17.63,20.07,22.48,470,2
Latch_3_10,"Latch_3_BottomPlate__10.binvox, Latch_3_BuckledRing__10.binvox, Latch_3_ControlPanel__10.binvox, Latch_3_Rivet__10.binvox, Latch_3_StrikePlate__10.binvox",17.91,20.2,22.62,429,2
Latch_3_3,"Latch_3_BottomPlate__3.binvox, Latch_3_BuckledRing__3.binvox, Latch_3_ControlPanel__3.binvox, Latch_3_Rivet__3.binvox, Latch_3_StrikePlate__3.binvox",17.3,20.13,22.55,456,2
