Assembly_ID,Sub_parts,Assembly_Time,Assembly_Cost,Restrictive_Tolerance,Quantity,Supplier
Bearing_2_3,"Bearing_2_Ball__3.binvox, Bearing_2_InnerRing__3.binvox, Bearing_2_OuterRing__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox",58.31,65.31,12.33,79,1
Bearing_2_4,"Bearing_2_Ball__4.binvox, Bearing_2_InnerRing__4.binvox, Bearing_2_OuterRing__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox",53.91,60.38,11.54,130,1
Bearing_2_5,"Bearing_2_Ball__5.binvox, Bearing_2_InnerRing__5.binvox, Bearing_2_OuterRing__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox, Bearing_2_Ball__5.binvox",50.77,56.86,11.96,75,1
Bearing_2_7,"Bearing_2_Ball__7.binvox, Bearing_2_InnerRing__7.binvox, Bearing_2_OuterRing__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox, Bearing_2_Ball__7.binvox",55.68,62.36,17.0,96,1
Bearing_2_8,"Bearing_2_Ball__8.binvox, Bearing_2_InnerRing__8.binvox, Bearing_2_OuterRing__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox, Bearing_2_Ball__8.binvox",52.77,59.1,11.96,89,1
Bearing_3_1,"Bearing_3_Ball__1.binvox, Bearing_3_InnerRing__1.binvox, Bearing_3_OuterRing__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox, Bearing_3_Ball__1.binvox",53.52,59.94,12.95,85,1
Bearing_3_10,"Bearing_3_Ball__10.binvox, Bearing_3_InnerRing__10.binvox, Bearing_3_OuterRing__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox, Bearing_3_Ball__10.binvox",58.92,65.99,17.84,90,1
Bearing_3_3,"Bearing_3_Ball__3.binvox, Bearing_3_InnerRing__3.binvox, Bearing_3_OuterRing__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox, Bearing_3_Ball__3.binvox",56.05,62.78,12.29,105,1
Bearing_3_4,"Bearing_3_Ball__4.binvox, Bearing_3_InnerRing__4.binvox, Bearing_3_OuterRing__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox, Bearing_3_Ball__4.binvox",57.31,64.19,11.08,108,1
Bearing_3_5,"Bearing_3_Ball__5.binvox, Bearing_3_InnerRing__5.binvox, Bearing_3_OuterRing__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox, Bearing_3_Ball__5.binvox",57.58,64.49,11.06,79,1
Bearing_3_7,"Bearing_3_Ball__7.binvox, Bearing_3_InnerRing__7.binvox, Bearing_3_OuterRing__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox, Bearing_3_Ball__7.binvox",57.87,64.81,12.89,119,1
Bearing_3_8,"Bearing_3_Ball__8.binvox, Bearing_3_InnerRing__8.binvox, Bearing_3_OuterRing__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox, Bearing_3_Ball__8.binvox",53.86,60.32,16.51,87,1
Bearing_4_1,"Bearing_4_Ball__1.binvox, Bearing_4_InnerRing__1.binvox, Bearing_4_OuterRing__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox, Bearing_4_Ball__1.binvox",50.52,56.58,17.09,73,1
Bearing_4_10,"Bearing_4_Ball__10.binvox, Bearing_4_InnerRing__10.binvox, Bearing_4_OuterRing__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox, Bearing_4_Ball__10.binvox",57.43,64.32,17.46,90,1
Bearing_4_3,"Bearing_4_Ball__3.binvox, Bearing_4_InnerRing__3.binvox, Bearing_4_OuterRing__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox, Bearing_4_Ball__3.binvox",52.75,59.08,17.73,140,1
Bearing_4_4,"Bearing_4_Ball__4.binvox, Bearing_4_InnerRing__4.binvox, Bearing_4_OuterRing__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox, Bearing_4_Ball__4.binvox",53.38,59.79,17.47,110,1
Bearing_4_5,"Bearing_4_Ball__5.binvox, Bearing_4_InnerRing__5.binvox, Bearing_4_OuterRing__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox, Bearing_4_Ball__5.binvox",48.58,54.41,17.39,81,1
Bearing_4_7,"Bearing_4_Ball__7.binvox, Bearing_4_InnerRing__7.binvox, Bearing_4_OuterRing__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox, Bearing_4_Ball__7.binvox",58.47,65.49,17.21,77,1
Bearing_4_8,"Bearing_4_Ball__8.binvox, Bearing_4_InnerRing__8.binvox, Bearing_4_OuterRing__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox, Bearing_4_Ball__8.binvox",53.75,60.2,16.99,99,1
Bearing_5_1,"Bearing_5_Ball__1.binvox, Bearing_5_Cage__1.binvox, Bearing_5_InnerRing__1.binvox, Bearing_5_OuterRing__1.binvox, Bearing_5_Seal__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox, Bearing_5_Ball__1.binvox",67.62,75.73,12.58,80,1
Bearing_5_10,"Bearing_5_Ball__10.binvox, Bearing_5_Cage__10.binvox, Bearing_5_InnerRing__10.binvox, Bearing_5_OuterRing__10.binvox, Bearing_5_Seal__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox, Bearing_5_Ball__10.binvox",64.52,72.26,12.52,88,1
Bearing_5_3,"Bearing_5_Ball__3.binvox, Bearing_5_Cage__3.binvox, Bearing_5_InnerRing__3.binvox, Bearing_5_OuterRing__3.binvox, Bearing_5_Seal__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox, Bearing_5_Ball__3.binvox",63.58,71.21,11.58,137,1
Bearing_5_4,"Bearing_5_Ball__4.binvox, Bearing_5_Cage__4.binvox, Bearing_5_InnerRing__4.binvox, Bearing_5_OuterRing__4.binvox, Bearing_5_Seal__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox, Bearing_5_Ball__4.binvox",62.49,69.99,12.87,120,1
Bearing_5_5,"Bearing_5_Ball__5.binvox, Bearing_5_Cage__5.binvox, Bearing_5_InnerRing__5.binvox, Bearing_5_OuterRing__5.binvox, Bearing_5_Seal__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox, Bearing_5_Ball__5.binvox",68.66,76.9,11.36,97,1
Bearing_5_7,"Bearing_5_Ball__7.binvox, Bearing_5_Cage__7.binvox, Bearing_5_InnerRing__7.binvox, Bearing_5_OuterRing__7.binvox, Bearing_5_Seal__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox, Bearing_5_Ball__7.binvox",61.44,68.81,11.52,96,1
Bearing_5_8,"Bearing_5_Ball__8.binvox, Bearing_5_Cage__8.binvox, Bearing_5_InnerRing__8.binvox, Bearing_5_OuterRing__8.binvox, Bearing_5_Seal__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox, Bearing_5_Ball__8.binvox",62.32,69.8,11.98,106,1
Bearing_6_1,"Bearing_6_Ball__1.binvox, Bearing_6_InnerRing__1.binvox, Bearing_6_OuterRing__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox, Bearing_6_Ball__1.binvox",53.1,59.47,11.47,104,1
Bearing_6_10,"Bearing_6_Ball__10.binvox, Bearing_6_InnerRing__10.binvox, Bearing_6_OuterRing__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox, Bearing_6_Ball__10.binvox",58.17,65.15,12.31,120,1
Bearing_6_3,"Bearing_6_Ball__3.binvox, Bearing_6_InnerRing__3.binvox, Bearing_6_OuterRing__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox, Bearing_6_Ball__3.binvox",58.01,64.97,11.1,51,1
Bearing_6_4,"Bearing_6_Ball__4.binvox, Bearing_6_InnerRing__4.binvox, Bearing_6_OuterRing__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox, Bearing_6_Ball__4.binvox",57.89,64.84,11.26,110,1
Bearing_6_5,"Bearing_6_Ball__5.binvox, Bearing_6_InnerRing__5.binvox, Bearing_6_OuterRing__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox, Bearing_6_Ball__5.binvox",53.8,60.26,11.81,65,1
Bearing_6_7,"Bearing_6_Ball__7.binvox, Bearing_6_InnerRing__7.binvox, Bearing_6_OuterRing__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox, Bearing_6_Ball__7.binvox",52.98,59.34,11.09,128,1
Bearing_6_8,"Bearing_6_Ball__8.binvox, Bearing_6_InnerRing__8.binvox, Bearing_6_OuterRing__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox, Bearing_6_Ball__8.binvox",54.52,61.06,11.13,88,1
Bearing_7_1,"Bearing_7_Ball__1.binvox, Bearing_7_InnerRing__1.binvox, Bearing_7_OuterRing__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox, Bearing_7_Ball__1.binvox",54.53,61.07,11.34,92,1
Bearing_7_10,"Bearing_7_Ball__10.binvox, Bearing_7_InnerRing__10.binvox, Bearing_7_OuterRing__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox, Bearing_7_Ball__10.binvox",52.77,59.1,12.1,118,1
Bearing_7_3,"Bearing_7_Ball__3.binvox, Bearing_7_InnerRing__3.binvox, Bearing_7_OuterRing__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox, Bearing_7_Ball__3.binvox",52.16,58.42,12.43,70,1
Bearing_7_4,"Bearing_7_Ball__4.binvox, Bearing_7_InnerRing__4.binvox, Bearing_7_OuterRing__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox, Bearing_7_Ball__4.binvox",56.21,62.96,11.95,88,1
Bearing_7_5,"Bearing_7_Ball__5.binvox, Bearing_7_InnerRing__5.binvox, Bearing_7_OuterRing__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox, Bearing_7_Ball__5.binvox",60.96,68.28,12.35,104,1
Bearing_7_7,"Bearing_7_Ball__7.binvox, Bearing_7_InnerRing__7.binvox, Bearing_7_OuterRing__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox, Bearing_7_Ball__7.binvox",55.7,62.38,12.73,89,1
Bearing_7_8,"Bearing_7_Ball__8.binvox, Bearing_7_InnerRing__8.binvox, Bearing_7_OuterRing__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox, Bearing_7_Ball__8.binvox",61.1,68.43,12.85,99,1
Bearing_8_1,"Bearing_8_Ball__1.binvox, Bearing_8_InnerRing__1.binvox, Bearing_8_OuterRing__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox, Bearing_8_Ball__1.binvox",53.94,60.41,19.91,132,1
Bearing_8_10,"Bearing_8_Ball__10.binvox, Bearing_8_InnerRing__10.binvox, Bearing_8_OuterRing__10.binvox, Bearing_8_Ball__10.binvox, Bearing_8_Ball__10.binvox, Bearing_8_Ball__10.binvox, Bearing_8_Ball__10.binvox, Bearing_8_Ball__10.binvox, Bearing_8_Ball__10.binvox, Bearing_8_Ball__10.binvox",47.45,53.14,20.34,79,1
Bearing_8_3,"Bearing_8_Ball__3.binvox, Bearing_8_InnerRing__3.binvox, Bearing_8_OuterRing__3.binvox, Bearing_8_Ball__3.binvox, Bearing_8_Ball__3.binvox, Bearing_8_Ball__3.binvox, Bearing_8_Ball__3.binvox, Bearing_8_Ball__3.binvox, Bearing_8_Ball__3.binvox, Bearing_8_Ball__3.binvox",54.51,61.05,16.01,113,1
Bearing_8_4,"Bearing_8_Ball__4.binvox, Bearing_8_InnerRing__4.binvox, Bearing_8_OuterRing__4.binvox, Bearing_8_Ball__4.binvox, Bearing_8_Ball__4.binvox, Bearing_8_Ball__4.binvox, Bearing_8_Ball__4.binvox, Bearing_8_Ball__4.binvox, Bearing_8_Ball__4.binvox, Bearing_8_Ball__4.binvox",46.55,52.14,20.3,78,1
Bearing_8_5,"Bearing_8_Ball__5.binvox, Bearing_8_InnerRing__5.binvox, Bearing_8_OuterRing__5.binvox, Bearing_8_Ball__5.binvox, Bearing_8_Ball__5.binvox, Bearing_8_Ball__5.binvox, Bearing_8_Ball__5.binvox, Bearing_8_Ball__5.binvox, Bearing_8_Ball__5.binvox, Bearing_8_Ball__5.binvox",44.97,50.37,19.42,92,1
Bearing_8_7,"Bearing_8_Ball__7.binvox, Bearing_8_InnerRing__7.binvox, Bearing_8_OuterRing__7.binvox, Bearing_8_Ball__7.binvox, Bearing_8_Ball__7.binvox, Bearing_8_Ball__7.binvox, Bearing_8_Ball__7.binvox, Bearing_8_Ball__7.binvox, Bearing_8_Ball__7.binvox, Bearing_8_Ball__7.binvox",45.77,51.26,19.42,105,1
Bearing_8_8,"Bearing_8_Ball__8.binvox, Bearing_8_InnerRing__8.binvox, Bearing_8_OuterRing__8.binvox, Bearing_8_Ball__8.binvox, Bearing_8_Ball__8.binvox, Bearing_8_Ball__8.binvox, Bearing_8_Ball__8.binvox, Bearing_8_Ball__8.binvox, Bearing_8_Ball__8.binvox, Bearing_8_Ball__8.binvox",51.38,57.55,20.37,109,1
Bearing_9_1,"Bearing_9_Ball__1.binvox, Bearing_9_InnerRing__1.binvox, Bearing_9_OuterRing__1.binvox, Bearing_9_Seal__1.binvox, Bearing_9_Ball__1.binvox, Bearing_9_Ball__1.binvox, Bearing_9_Ball__1.binvox, Bearing_9_Ball__1.binvox, Bearing_9_Ball__1.binvox, Bearing_9_Ball__1.binvox, Bearing_9_Ball__1.binvox",54.74,61.31,24.9,111,1
Bearing_9_10,"Bearing_9_Ball__10.binvox, Bearing_9_InnerRing__10.binvox, Bearing_9_OuterRing__10.binvox, Bearing_9_Seal__10.binvox, Bearing_9_Ball__10.binvox, Bearing_9_Ball__10.binvox, Bearing_9_Ball__10.binvox, Bearing_9_Ball__10.binvox, Bearing_9_Ball__10.binvox, Bearing_9_Ball__10.binvox, Bearing_9_Ball__10.binvox",54.15,60.65,23.54,105,1
Bearing_9_3,"Bearing_9_Ball__3.binvox, Bearing_9_InnerRing__3.binvox, Bearing_9_OuterRing__3.binvox, Bearing_9_Seal__3.binvox, Bearing_9_Ball__3.binvox, Bearing_9_Ball__3.binvox, Bearing_9_Ball__3.binvox, Bearing_9_Ball__3.binvox, Bearing_9_Ball__3.binvox, Bearing_9_Ball__3.binvox, Bearing_9_Ball__3.binvox",49.32,55.24,24.78,54,1
